iter	Passed	Remaining
0	170	16880
1	174	8568
2	177	5744
3	181	4346
4	185	3521
5	187	2943
6	190	2528
7	192	2215
8	195	1972
9	198	1789
10	201	1630
11	203	1495
12	206	1381
13	208	1283
14	211	1197
15	214	1124
16	216	1058
17	219	999
18	221	945
19	224	896
20	226	852
21	231	821
22	234	784
23	236	750
24	239	717
25	241	687
26	244	660
27	248	640
28	251	616
29	254	593
30	256	571
31	259	550
32	262	532
33	266	518
34	269	500
35	273	485
36	275	469
37	279	455
38	281	440
39	285	427
40	287	414
41	290	400
42	293	388
43	295	376
44	298	364
45	302	354
46	304	343
47	307	332
48	310	323
49	312	312
50	315	303
51	319	294
52	321	285
53	324	276
54	326	267
55	329	258
56	333	251
57	335	243
58	338	235
59	344	229
60	346	221
61	349	213
62	351	206
63	354	199
64	358	192
65	361	186
66	364	179
67	366	172
68	368	165
69	371	159
70	377	154
71	379	147
72	382	141
73	388	136
74	398	132
75	400	126
76	402	120
77	406	114
78	409	108
79	412	103
80	415	97
81	417	91
82	420	86
83	423	80
84	425	75
85	429	69
86	431	64
87	434	59
88	437	54
89	439	48
90	442	43
91	445	38
92	447	33
93	450	28
94	453	23
95	456	19
96	458	14
97	461	9
98	463	4
99	467	0
